x,y,z,,x,y,z,,x,y,z
-30.71462325,24.38147158,0,,20.24802611,-2.58644995,0,,50.96264936,-26.96792153,0
-30.52430301,24.49044509,0,,21.13787935,-2.899724788,0,,51.66218236,-27.39016988,0
-30.38215767,24.55215756,0,,21.95102961,-3.210506243,0,,52.33318728,-27.7626638,0
-30.28959267,24.5796816,0,,22.72336451,-3.514217203,0,,53.01295718,-28.0938988,0
-30.2016302,24.58115683,0,,23.48775602,-3.801219066,0,,53.68938622,-28.3823759,0
-30.08624042,24.62426637,0,,24.25094415,-4.086447076,0,,54.33718457,-28.71071345,0
-29.94911157,24.63163005,0,,25.0205878,-4.34771409,0,,54.96969937,-28.97934414,0
-29.80032468,24.5982123,0,,25.80478889,-4.592079203,0,,55.60511357,-29.1902915,0
-29.63225248,24.56750135,0,,26.61290378,-4.847380899,0,,56.24515626,-29.41488225,0
-29.43227675,24.59015278,0,,27.43357361,-5.118724136,0,,56.86585036,-29.70887692,0
-29.21063443,24.65551669,0,,28.23719433,-5.403520704,0,,57.44782876,-30.05903739,0
-29.01502287,24.76372665,0,,28.97950204,-5.683461869,0,,57.99452491,-30.44718852,0
-28.89361236,24.83504538,0,,29.63080273,-5.954288241,0,,58.52441509,-30.78933362,0
-28.8522366,24.82177838,0,,30.19917332,-6.218505315,0,,59.05140992,-31.0402837,0
-28.84390244,24.76376265,0,,30.73395057,-6.494864297,0,,59.57785301,-31.25862695,0
-28.82580318,24.73186628,0,,31.27893117,-6.800940337,0,,60.10473435,-31.53280662,0
-28.76862185,24.74550433,0,,31.84454331,-7.115554532,0,,60.61316516,-31.86105886,0
-28.66943414,24.82913629,0,,32.42830032,-7.439222211,0,,61.09773446,-32.2683585,0
-28.55063652,24.93814991,0,,33.01739019,-7.766591877,0,,61.56802671,-32.70474179,0
-28.43413093,25.04650776,0,,33.58945701,-8.093847643,0,,62.02358794,-33.1403554,0
-28.33952293,25.12093925,0,,34.1226885,-8.410409639,0,,62.46221143,-33.53134889,0
-28.24971462,25.19066585,0,,34.60496774,-8.706913369,0,,62.85468236,-33.89757922,0
-28.16277901,25.2551973,0,,35.02180549,-8.972117099,0,,63.1845845,-34.2273144,0
-28.08285976,25.32769667,0,,35.37773173,-9.20982158,0,,63.46059149,-34.53751825,0
-28.02022041,25.38120639,0,,35.68367949,-9.411007622,0,,63.7038999,-34.79221401,0
-27.97682885,25.41961548,0,,35.94586517,-9.58419661,0,,63.92269402,-35.00381209,0
-27.95041018,25.43214359,0,,36.16590191,-9.738950148,0,,64.11631209,-35.17109374,0
-27.93507768,25.42757373,0,,36.33854378,-9.872272665,0,,64.27362146,-35.2998464,0
-27.93499343,25.43577539,0,,36.45069178,-9.975089447,0,,64.38568521,-35.41086484,0
-27.95390566,25.41684415,0,,36.48742902,-10.0459605,0,,64.44133468,-35.46280465,0
-27.98830766,25.39576844,0,,36.428173,-10.08534238,0,,64.41648066,-35.48111082,0
-28.04661833,25.34010002,0,,36.26312977,-10.06526207,0,,64.3097481,-35.40536209,0
-28.12976712,25.28015754,0,,35.99821143,-10.00720664,0,,64.12797855,-35.28736418,0
-28.23571707,25.22552357,0,,35.63009221,-9.908243434,0,,63.86580928,-35.133767,0
-28.36019158,25.16603363,0,,35.17063731,-9.759842351,0,,63.53082889,-34.92587598,0
-28.5044875,25.06896619,0,,34.64842261,-9.572652625,0,,63.15291011,-34.64161882,0
-28.65969569,24.9611729,0,,34.08550399,-9.364330801,0,,62.74519968,-34.3255037,0
-28.81230386,24.82662599,0,,33.48387578,-9.121546206,0,,62.29617964,-33.9481722,0
-28.9553288,24.70810178,0,,32.84506658,-8.862739269,0,,61.80039538,-33.57084105,0
-29.08839734,24.60078285,0,,32.15562321,-8.580129389,0,,61.24402055,-33.18091224,0
-29.22699315,24.49958001,0,,31.40704852,-8.279302232,0,,60.63404167,-32.77888224,0
-29.38739986,24.37622844,0,,30.59510467,-7.95799294,0,,59.98250453,-32.33422138,0
-29.58067801,24.20090635,0,,29.72185842,-7.620978764,0,,59.30253643,-31.82188511,0
